Local;Número;Título;Fase;Tier;Change Manager;Iniciador;Representante da qualidade;Prod Impact;Reg. Impact;Change Driver;Created;Approval;Planned Completion;Planned Verification;Planned Regulatory Closure Date;Closed;Change Mgr Dept;Site Review Council;Is there artwork impact?;Actual Regulatory Approval Date;Quality Verification Completion Date;Regulatory Rep
Cruzeiro;CR042413;Atualização das especificações dos materiais 2011386 e 2011397;Closed;Tier 1;;Vilmar Alves;Samira Gaspar;;;;abr 4, 2023;abr 10, 2023;ago 30, 2023;set 14, 2023;;set 13, 2023;;;;;set 13, 2023;
Cruzeiro;CR042409;Transferência do conteúdo de 30 tambores de Alquilbenzeno C9 (Arol 3700/Solvesso100) para a tancagem (TQSC017C);Closed;Tier 1;Claudio Cardeal;Claudio Cardeal;Samira Gaspar;No;No;Business/process improvement or change;abr 4, 2023;abr 21, 2023;mai 19, 2023;jun 3, 2023;;mai 16, 2023;Logistics-Warehouse;;;;mai 16, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR042345;Retrabalho no produto granel Ultra Saber Pour On lote 004/23 e 005/23;Closed;Tier 2;Julio Palma;Julio Palma;Samira Gaspar;No;No;Business/process improvement or change;mar 31, 2023;abr 3, 2023;mai 17, 2023;jun 1, 2023;;mai 23, 2023;Manufacturing;Izabel Barcza;;;mai 23, 2023;Jessica Isaac
Cruzeiro;CR042190;Atualização das artes do produto Powerzuril Suspensão Nacional;Closed;Tier 1;Vilmar Alves;Vilmar Alves;Samira Gaspar;No;No;Quality/Compliance;mar 27, 2023;mar 29, 2023;jun 28, 2024;jul 13, 2024;;jul 12, 2024;Packaging;;Yes;;jul 12, 2024;Anna Carolina Sousa Alves
Cruzeiro;CR042159;Repackaging Panacur Suspension 10% 1L Mexico batch 088/22 / Reembalagem Panacur Suspensão 10% 1L México do lote 088/22.;Closed;Tier 2;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Business/process improvement or change;mar 24, 2023;abr 12, 2023;abr 28, 2023;mai 13, 2023;;mai 3, 2023;Manufacturing;Izabel Barcza;;;mai 3, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR042133;Agitação do Tanque Pulmão pré-envase do Triatox/Taktic;Closed;Tier 1;Juliana Silva;Vitor Ferreira Magalhães Viana;Anderson da Silva;No;No;Business/process improvement or change;mar 23, 2023;abr 10, 2023;jun 27, 2025;jul 12, 2025;;jul 7, 2025;GTO-PTS;;;;jul 7, 2025;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR042017;Inclusão de cargo de operador de estação de tratamento (Efetivo MSD) de efluente no site de Cruzeiro.;Closed;Tier 1;Leonardo Guedes;Leonardo Guedes;Samira Gaspar;No;No;Safety and Environmental;mar 21, 2023;mar 30, 2023;mai 26, 2023;jun 10, 2023;;mai 17, 2023;Maintenance;;;;mai 17, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR041997;Revisar a técnica de análise C-CQ-TCPA-102 para incluir os cuidados necessários para a agitação desse produto;Closed;Tier 1;;Aline Bormio;Samira Gaspar;;;;mar 20, 2023;mar 21, 2023;dez 15, 2023;dez 30, 2023;;nov 23, 2023;Quality Control;;;;nov 23, 2023;
Cruzeiro;CR041944;Aprovação do material Silicato de Alumínio Hidratado (Caulim) do fornecedor Imerys - Unidade Mogi das Cruzes;Implementation;Tier 1;;Sara Souto;Anderson da Silva;;;;mar 17, 2023;abr 12, 2023;ago 22, 2025;set 6, 2025;;;Packaging;;;;;
Cruzeiro;CR041938;Inclusão do fornecedor Velaplast no fornecimento dos frascos COEX 5L e Bombona PEAD 10L;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;mar 17, 2023;abr 20, 2023;set 29, 2023;out 14, 2023;;out 11, 2023;Packaging;;;;out 11, 2023;
Cruzeiro;CR041937;;Cancelled;;Sara Souto;Sara Souto;;;;;mar 17, 2023;;;;;;;;;;;
Cruzeiro;CR041821;;Cancelled;;Rafael Brandão Nascimento;Rafael Brandão Nascimento;;;;;mar 14, 2023;;;;;;;;;;;
Cruzeiro;CR041803;Adequação das tampas dos tanques de formulação TQSC037C e TQSC038C.;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Safety and Environmental;mar 13, 2023;abr 12, 2023;jul 21, 2023;ago 5, 2023;;ago 4, 2023;Manufacturing;;;;ago 4, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR041798;Utilização do Rótulo Bula Butox P CE 25 20ml Peru na versão 00;Closed;Tier 1;Vilmar Alves;Vilmar Alves;Samira Gaspar;No;No;Business/process improvement or change;mar 13, 2023;mar 17, 2023;jul 31, 2023;ago 15, 2023;;mai 26, 2023;Packaging;;;;mai 26, 2023;Jessica Isaac
Cruzeiro;CR041707;Adequação de sistema de exaustão Ectos, para redução de consumo de Gás Natual pelo Incinerador;Closed;Tier 1;Leonardo Guedes;Leonardo Guedes;Samira Gaspar;No;No;Safety and Environmental;mar 9, 2023;mar 20, 2023;fev 7, 2025;fev 22, 2025;;fev 19, 2025;Maintenance;;;;fev 19, 2025;Anna Carolina Sousa Alves
Cruzeiro;CR041680;Utilização do Rótulo Bula Butox P CE 25 20ml Peru na versão 00;Cancelled;Tier 1;;Vilmar Alves;Samira Gaspar;;;;mar 8, 2023;;jul 28, 2023;ago 12, 2023;;;;;;;;
Cruzeiro;CR041630;Inclusão do fornecedor Velasplast para o fornecimento de frascos COEX 250mL, 300mL, 500mL e 1L;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;mar 7, 2023;mar 29, 2023;jan 31, 2024;fev 15, 2024;;jan 17, 2024;Packaging;;;;jan 17, 2024;
Cruzeiro;CR041595;Alterations in the Change Controls for Ectiban Fly-Killer, Boss, Ultra Boss and Synergized products from Baton Rouge. / Alterações nos Controles de Mudanças dos produtos Ectiban Fly-Killer, Boss, Ultra Boss e Synergized.;Closed;Tier 1;Pedro Bonfim;Pedro Bonfim;Samira Gaspar;No;No;Business/process improvement or change;mar 6, 2023;mar 19, 2023;mar 24, 2023;abr 8, 2023;;abr 19, 2023;GTO-PTS;Izabel Barcza;;;abr 19, 2023;Jessica Isaac
Cruzeiro;CR041587;Instalação de Guarda Corpo nos Tanques de Formulação de Suspensões;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Safety and Environmental;mar 6, 2023;mar 14, 2023;jul 27, 2023;ago 11, 2023;;ago 9, 2023;Manufacturing;;;;ago 9, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR041584;Projeto MCV-41/20 - Criação e revisão de documentos;Closed;Tier 1;;Willian Douglas Barreto;Samira Gaspar;;;;mar 6, 2023;mar 17, 2023;mar 31, 2023;abr 15, 2023;;abr 14, 2023;R&D;;;;abr 14, 2023;
Cruzeiro;CR041480;Fabricação dos lotes-piloto do produto MCV-41/20;Closed;Tier 1;Vitor Ferreira Magalhães Viana;Vitor Ferreira Magalhães Viana;Samira Gaspar;No;No;Business/process improvement or change;mar 1, 2023;mar 8, 2023;jun 30, 2023;jul 15, 2023;;jun 27, 2023;GTO-PTS;;;;jun 27, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR041470;Elaboração do formulário Lab Data Sheet para os produtos do site de Cruzeiro;Implementation;Tier 1;;Aline Bormio;Anderson da Silva;;;;mar 1, 2023;set 27, 2023;dez 12, 2025;dez 27, 2025;;;Quality Control;;;;;
Cruzeiro;CR041443;Criação das embalagens para o produto Panacoxx 1L com aplicador, Panacoxx 1L sem aplicador e Panacoxx 250ml, todos para o Uruguai;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;fev 28, 2023;mar 31, 2023;ago 16, 2024;ago 31, 2024;;ago 15, 2024;Planning;;;;ago 15, 2024;Aline Ishziuka
Cruzeiro;CR041357;Alteração do texto da configuração da embalagem de transporte.;Closed;Tier 1;;Daniel Elias;Samira Gaspar;;;;fev 27, 2023;mar 17, 2023;jun 16, 2023;jul 1, 2023;;abr 24, 2023;Manufacturing;;;;abr 24, 2023;
Cruzeiro;CR041336;Atualizações referentes ao teste de viscosidade;Closed;Tier 1;;Aline Bormio;Samira Gaspar;;;;fev 24, 2023;mar 17, 2023;jul 28, 2023;ago 12, 2023;;ago 4, 2023;Quality Control;;;;ago 4, 2023;
Cruzeiro;CR041133;Alteração do cartão utilizado nos cartuchos de faca 43x43x93 mm;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;fev 16, 2023;abr 18, 2023;ago 24, 2023;set 8, 2023;;set 6, 2023;Packaging;;;;set 6, 2023;
Cruzeiro;CR041119;Processo de reembalagem do Panacur Susp. 10% 1L México do lote 088/22 para atender o mercado nacional.;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;fev 16, 2023;mar 6, 2023;jun 9, 2023;jun 24, 2023;;jun 7, 2023;Planning;;;;jun 7, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR041064;Revisão de especificação do material 2002700 Dosador Oral 15 ml para Tampa Plástica;Closed;Tier 1;;Maria Paula Para Nogueira;Samira Gaspar;;;;fev 15, 2023;fev 15, 2023;abr 28, 2023;mai 13, 2023;;mai 2, 2023;Packaging;;;;mai 2, 2023;
Cruzeiro;CR040977;Revisão das análises pertinentes à LI do MCV-41/20;Cancelled;Tier 1;;Willian Douglas Barreto;Samira Gaspar;;;;fev 13, 2023;;abr 7, 2023;abr 22, 2023;;;R&D;;;;;
Cruzeiro;CR040941;Migração da documentação de EHS para o Sistema MEDS;Implementation;Tier 1;;Mateus Percídio Silva Alves;Anderson da Silva;;;;fev 10, 2023;out 11, 2023;dez 18, 2025;jan 2, 2026;;;EHS;;;;;
Cruzeiro;CR040881;Produção de Crestar IVG 1.3 com utilização de reticulante Trigonox 101.;Cancelled;;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Business/process improvement or change;fev 9, 2023;;mar 10, 2023;mar 25, 2023;;;Manufacturing;;;;;Anna Carolina Sousa Alves
Cruzeiro;CR040837;Atualização das artes do produto Avotan Gold Pour-On 1L AR-BO-PY-CENCA;Closed;Tier 1;;Vilmar Alves;Samira Gaspar;;;;fev 8, 2023;mai 3, 2023;mai 31, 2024;jun 15, 2024;;jun 11, 2024;;;;;jun 11, 2024;
Cruzeiro;CR040799;Inclusão do fornecedor CCL para o fornecimento de rótulos;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;fev 7, 2023;jun 15, 2023;dez 13, 2024;dez 28, 2024;;nov 26, 2024;Packaging;;;;nov 26, 2024;
Cruzeiro;CR040742;Alteração do fornecedor do praziquantel da Hisun Pharmaceutical para Alivira Animal Health.;Post Implementation;Tier 1;Paloma Silva Souza;Paloma Silva Souza;Anderson da Silva;No;No;Business/process improvement or change;fev 6, 2023;jun 16, 2023;set 5, 2025;set 20, 2025;;;GTO-PTS;Izabel Barcza;;;;Anna Carolina Sousa Alves
Cruzeiro;CR040696;Aumento do tempo da agitação e recirculação final da formulação do Butox P CE 25;Post Implementation;Tier 1;Juliana Silva;Vitor Ferreira Magalhães Viana;Anderson da Silva;No;No;Business/process improvement or change;fev 3, 2023;mar 29, 2023;ago 29, 2025;set 13, 2025;;;Manufacturing;;;;;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR040658;Troca do tanque de 300L (TQCC009C) do sistema de formulação Calminex Pomadas, pelo tanque de 300L (TQSC032C);Closed;Tier 1;Luiz Fernando Mendes;Luiz Fernando Mendes;Samira Gaspar;No;No;Business/process improvement or change;fev 2, 2023;fev 16, 2023;ago 23, 2024;set 7, 2024;;set 4, 2024;GTO-PTS;;;;set 4, 2024;Anna Carolina Sousa Alves
Cruzeiro;CR040639;Instalação de iluminação e alteração das luvas usadas na Cabine VBE OEB4;Closed;Tier 1;Aline Bormio;Aline Bormio;Samira Gaspar;No;No;Safety and Environmental;fev 2, 2023;fev 28, 2023;jul 30, 2024;ago 14, 2024;;ago 13, 2024;Quality Control;;;;ago 13, 2024;Anna Carolina Sousa Alves
Cruzeiro;CR040497;Operação Interna de Movimentação de Materiais/Produtos Utilizando Caminhão;Cancelled;;Josemar Felix;Claudio Cardeal;;;;Business/process improvement or change;jan 30, 2023;;;;;;Planning;;;;;
Cruzeiro;CR040298;Somente redução do tempo da agitação final da formulação do Panacur Suspensão 10%;Closed;Tier 1;Vitor Ferreira Magalhães Viana;Vitor Ferreira Magalhães Viana;Samira Gaspar;No;No;Business/process improvement or change;jan 20, 2023;fev 15, 2023;mar 31, 2023;abr 15, 2023;;abr 24, 2023;GTO-PTS;;;;abr 24, 2023;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR040275;Implementação das alterações do sistema SAP Atlas - frente aos processos do Almoxarifado/Expedição/Planejamento;Closed;Tier 1;;Claudio Cardeal;Samira Gaspar;;;;jan 19, 2023;fev 2, 2024;out 15, 2024;out 30, 2024;;out 30, 2024;Logistics-Warehouse;;;;out 30, 2024;
Cruzeiro;CR040065;Substituição do Sistema MIDAS R&D para o MEDS 2.0 - Cruzeiro;Closed;Tier 1;;Samira Gaspar;Maria Leticia Vilas Boas;;;;jan 12, 2023;mar 16, 2023;mai 19, 2023;jun 3, 2023;;mai 18, 2023;Quality Assurance;;;;mai 18, 2023;
Cruzeiro;CR039994;Implementação do SAP Atlas na MSD Saúde Animal Site Cruzeiro – frente PM (Plant Maintenance).;Closed;Tier 1;;Leonardo Guedes;Samira Gaspar;;;;jan 11, 2023;jan 19, 2023;ago 25, 2023;set 9, 2023;;ago 25, 2023;Maintenance;;;;ago 25, 2023;
Cruzeiro;CR039860;Mudança do material PET do Rótulo Seringa Sleeve Masti-Seal;Closed;Tier 1;;Vilmar Alves;Samira Gaspar;;;;jan 5, 2023;jan 11, 2023;jul 28, 2023;ago 12, 2023;;jun 16, 2023;Packaging;;;;jun 16, 2023;
Cruzeiro;CR039859;Implementação do SAP Atlas na MSD Saúde Animal Site Cruzeiro – frente QM (Quality Management);Implementation;Tier 1;;Thamires Ribeiro;Anderson da Silva;;;;jan 5, 2023;jan 18, 2023;ago 29, 2025;set 13, 2025;;;Quality Assurance;;;;;
Cruzeiro;CR039807;Implementação do SAP Atlas na MSD Saúde Animal Site Cruzeiro;Implementation;Tier 1;;Thamires Ribeiro;Anderson da Silva;;;;jan 3, 2023;jan 12, 2023;jan 16, 2026;jan 31, 2026;;;Quality Assurance;;;;;
Cruzeiro;CR039789;Aprovação do material Plasdone™ K-29/32 (Povidone) do fornecedor ISP Chemicals LLC (afiliado da Ashland Chemical);Post Implementation;Tier 1;Sara Souto;Sara Souto;Anderson da Silva;No;No;Business/process improvement or change;jan 2, 2023;jan 10, 2023;jul 25, 2025;ago 9, 2025;;;Packaging;;;;;"Jessica Isaac; Anna Carolina Sousa Alves"
Cruzeiro;CR039667;Substituição das válvulas das placas de fluxo e criação de uma bandeja nas placas de Fluxos no setor Ectopasiticidas.;Closed;Tier 1;Julio Palma;Julio Palma;Samira Gaspar;No;No;Business/process improvement or change;dez 20, 2022;jan 24, 2023;abr 14, 2023;abr 29, 2023;;abr 6, 2023;Manufacturing;;;;abr 6, 2023;"Jessica Isaac; Anna Carolina Sousa Alves"
Cruzeiro;CR039663;Inclusão de novo cartão na especificação dos cartuchos de faca 210x65x210mm.;Closed;Tier 1;;Amanda Cristina Correa da Silva;Samira Gaspar;;;;dez 20, 2022;jan 13, 2023;out 27, 2023;nov 11, 2023;;out 6, 2023;;;;;out 6, 2023;
Cruzeiro;CR039624;Inclusão do fornecedor CLL para o fornecimento de rótulos;Cancelled;;Rafael Brandão Nascimento;Rafael Brandão Nascimento;;;;Business/process improvement or change;dez 19, 2022;;;;;;Packaging;;;;;
Cruzeiro;CR039569;Validação de processo tempo dependente do envase do produto Panacur Suspensão 20 mL;Closed;Tier 1;Paloma Silva Souza;Vitor Ferreira Magalhães Viana;Anderson da Silva;No;No;Routine (Master Data, Like-for-Like, etc);dez 15, 2022;jan 10, 2023;abr 30, 2025;mai 15, 2025;;mai 8, 2025;GTO-PTS;;;;mai 8, 2025;Anna Carolina Sousa Alves
Cruzeiro;CR039564;Implementação da Lavadora de Vidraria Miele PG 8593;Closed;Tier 1;Aline Bormio;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 15, 2022;mar 29, 2023;mar 29, 2024;abr 13, 2024;;mar 22, 2024;Quality Control;;;;mar 22, 2024;Anna Carolina Sousa Alves
Cruzeiro;CR039561;Implementação do Analisador de Carbono Orgânico Total Gehaka TOC2500;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 15, 2022;dez 21, 2022;abr 20, 2023;mai 5, 2023;;mai 5, 2023;Quality Control;;;;mai 5, 2023;Raquel Pinto Lopes
Cruzeiro;CR039537;Instalação de protetor removível no sensor de detecção de fumaça localizado na sala de formulação Calminex Pomada.;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Safety and Environmental;dez 14, 2022;dez 22, 2022;fev 28, 2023;mar 15, 2023;;fev 27, 2023;Manufacturing;;;;fev 27, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR039383;Inclusão do Butildiglicol (SC#192632) no Programa de Teste reduzido.;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;dez 7, 2022;jan 24, 2023;jan 24, 2025;fev 8, 2025;;jan 27, 2025;Packaging;;;;jan 27, 2025;
Cruzeiro;CR039309;Revisão dos Procedimentos e Batches Records de Formulação de Comprimidos para incluir as atividades de revolvimento dos pós e pesagem de água.;Closed;Tier 1;;Daniel Elias;Anderson da Silva;;;;dez 6, 2022;dez 13, 2022;abr 18, 2025;mai 3, 2025;;abr 15, 2025;Manufacturing;;;;abr 15, 2025;
Cruzeiro;CR039278;Utilização temporária do aplicador Pour On 30ml ajustável do fornecedor Neogen;Closed;Tier 1;Rafael Brandão Nascimento;Rafael Brandão Nascimento;Samira Gaspar;No;No;Business/process improvement or change;dez 5, 2022;jan 3, 2023;mai 28, 2023;jun 12, 2023;;mai 12, 2023;Packaging;;;;mai 12, 2023;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR039193;Adequação do Guarda Corpo da Plataforma da Sala de Formulação de Suspensões;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Safety and Environmental;dez 1, 2022;jan 24, 2023;mai 4, 2023;mai 19, 2023;;mai 12, 2023;Manufacturing;;;;mai 12, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR039189;Manufacturing technology transfer of Garafos C product from Merck AH Baton Rouge site to MSD Cruzeiro site / Transferência de tecnologia de fabricação do produto Garafos C do site Merck AH Baton Rouge para o site da MSD Cruzeiro;Closed;Tier 2;Juliana Silva;Juliana Silva;Samira Gaspar;No;Yes;Business/process improvement or change;dez 1, 2022;jan 3, 2023;jun 30, 2025;jul 15, 2025;fev 10, 2025;fev 10, 2025;GTO-PTS;Izabel Barcza;Yes;fev 10, 2025;fev 7, 2025;Jessica Isaac
Cruzeiro;CR039037;Descomissionamento de Equipamentos no Controle de Qualidade;Post Implementation;Tier 1;Aline Bormio;Aline Bormio;Anderson da Silva;No;No;Business/process improvement or change;nov 25, 2022;fev 8, 2024;jul 30, 2025;ago 14, 2025;;;Quality Control;;;;;Anna Carolina Sousa Alves
Cruzeiro;CR039029;No usage of TempTales loggers for transport of insecticides products transferred from Baton Rouge to Cruzeiro;Closed;Tier 2;Josemar Felix;Josemar Felix;Samira Gaspar;No;No;Business/process improvement or change;nov 25, 2022;fev 1, 2023;dez 12, 2022;dez 27, 2022;;fev 2, 2023;Logistics-Warehouse;Izabel Barcza;;;fev 2, 2023;Aline Ishziuka
Cruzeiro;CR039003;"Armazenamento, transporte e manuseio de Óleo vegetal de milho, acondicionado em embalagem tipo ""bag in box"" no site da MSD Saúde Animal de Cruzeiro-SP.";Closed;Tier 1;Luiz Fernando Mendes;André Luiz Guerra Fernandes;Samira Gaspar;No;No;Business/process improvement or change;nov 24, 2022;dez 14, 2022;jun 14, 2024;jun 29, 2024;;jun 28, 2024;GTO-PTS;;;;jun 28, 2024;Jessica Isaac
Cruzeiro;CR038995;Alteração da arte do material 2000667 Rótulo bula Fluxacur 5 L África do Sul;Closed;Tier 1;;Amanda Cristina Correa da Silva;Samira Gaspar;;;;nov 24, 2022;dez 1, 2022;fev 28, 2023;mar 15, 2023;;mar 2, 2023;;;;;mar 2, 2023;
Cruzeiro;CR038922;Alteração de cor da tampa das apresentações do produto Panacur;Closed;Tier 1;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Samira Gaspar;No;Yes;Business/process improvement or change;nov 22, 2022;fev 28, 2023;fev 20, 2025;mar 7, 2025;nov 28, 2025;fev 28, 2025;Packaging;Izabel Barcza;No;fev 28, 2025;fev 28, 2025;Jessica Isaac
Cruzeiro;CR038784;Manutenção no piso do estacionamento próximo ao prédio do Ectos.;Closed;Tier 1;Leonardo Guedes;Leonardo Guedes;Samira Gaspar;No;No;Safety and Environmental;nov 17, 2022;nov 21, 2022;jan 13, 2023;jan 28, 2023;;jan 11, 2023;Engineering;;;;jan 11, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR038562;Aprovação do material de embalagem bolsa plástica para cura do fornecedor Stepac;Closed;Tier 1;Sara Souto;Sara Souto;Samira Gaspar;No;No;Business/process improvement or change;nov 10, 2022;nov 21, 2022;jan 20, 2023;fev 4, 2023;;jan 24, 2023;Packaging;;;;jan 24, 2023;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR038541;Atualização do PRD-019 LogBook de Impressão e verificação de rótulos caixa;Closed;Tier 1;;Eduardo Barros;Samira Gaspar;;;;nov 9, 2022;nov 17, 2022;nov 24, 2022;dez 9, 2022;;nov 25, 2022;Manufacturing;;;;nov 25, 2022;
Cruzeiro;CR038529;Atualização de especificação do material 2087545 Rótulo frasco Butox P CE 25 1 L;Closed;Tier 1;;Amanda Cristina Correa da Silva;Samira Gaspar;;;;nov 9, 2022;nov 17, 2022;jun 30, 2023;jul 15, 2023;;jul 4, 2023;;;;;jul 4, 2023;
Cruzeiro;CR038466;Validação de Limpeza do Sistema Produtivo do Ectoparasiticidas para o Produto Matabicheiras (nova fórmula);Pre-Implementation;Tier 1;Lucas Paixao;Lucas Paixao;Anderson da Silva;No;No;Business/process improvement or change;nov 7, 2022;dez 7, 2022;mar 5, 2026;mar 20, 2026;;;GTO-PTS;;;;;"Jessica Isaac; Anna Carolina Sousa Alves"
Cruzeiro;CR038459;Alteração da arte do material 2000667 Rótulo bula Fluxacur 5 L África do Sul;Cancelled;;Vilmar Alves;Amanda Cristina Correa da Silva;;;;Business/process improvement or change;nov 7, 2022;;;;;;Packaging;;;;;
Cruzeiro;CR038453;Atualização de especificação do material 2000505 Tira PVC 163mm;Closed;Tier 1;;Amanda Cristina Correa da Silva;Samira Gaspar;;;;nov 7, 2022;nov 10, 2022;mai 19, 2023;jun 3, 2023;;mai 2, 2023;;;;;mai 2, 2023;
Cruzeiro;CR038292;Validação de processo tempo dependente do envase do produto Calminex 30 g;Closed;Tier 1;Vitor Ferreira Magalhães Viana;Vitor Ferreira Magalhães Viana;Samira Gaspar;No;No;Routine (Master Data, Like-for-Like, etc);out 31, 2022;dez 5, 2022;abr 14, 2023;abr 29, 2023;;abr 12, 2023;GTO-PTS;;;;abr 12, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR038139;Estudos de Limpeza para os Produtos Líquidos Wave 2 fabricados no site da MSD Saúde Animal Cruzeiro;Post Implementation;Tier 1;Lucas Paixao;André Luiz Guerra Fernandes;Anderson da Silva;No;No;Business/process improvement or change;out 24, 2022;nov 11, 2022;ago 8, 2025;ago 23, 2025;;;GTO-PTS;;;;;Jessica Isaac
Cruzeiro;CR038131;Alteração da FEME 2011245 Kit Aplicador Powerzuril Suspensão e C-CEP-TCME-012 Análise de Materiais de Embalagem;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;out 24, 2022;out 26, 2022;abr 28, 2023;mai 13, 2023;;dez 8, 2022;Packaging;;;;dez 8, 2022;
Cruzeiro;CR038110;Inclusão no sistema SAP Avante de um ponto “.” ao final do número de lote do produto Bovguard produzido na planta de Cruzeiro.;Closed;Tier 2;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;out 21, 2022;nov 4, 2022;nov 3, 2023;nov 18, 2023;;nov 7, 2023;Planning;Izabel Barcza;;;nov 7, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR038049;"Aprovação do silicone ""HCR 9150 M A2"" do fornecedor Bluestar New Chemical Material Co., Ltd. Jiangxi Xinghuo Organic Silicone e alteração da especificação do teste de densidade na C-CQ-TCMP-161";Post Implementation;Tier 1;Paloma Silva Souza;Renata Lima;Anderson da Silva;No;No;Business/process improvement or change;out 19, 2022;nov 30, 2022;ago 1, 2025;ago 16, 2025;;;GTO-PTS;Izabel Barcza;No;;;Anna Carolina Sousa Alves
Cruzeiro;CR038039;Decommissioning products due to the UIN Optimization project or product out of commercialization. - Cruzeiro;Closed;Tier 1;Samira Gaspar;Samira Gaspar;Maria Leticia Vilas Boas;No;No;Business/process improvement or change;out 19, 2022;fev 9, 2023;jan 12, 2024;jan 27, 2024;;jan 16, 2024;Quality Assurance;;;;jan 16, 2024;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR037964;Alteração de cor da tampa das apresentações do produto Panacur;Cancelled;Tier 1;;Maria Paula Para Nogueira;Samira Gaspar;;;;out 17, 2022;;;;;;Packaging;;;;;
Cruzeiro;CR037963;Alteração de cor da tampa das apresentações do produto Sofomax;Closed;Tier 1;;Maria Paula Para Nogueira;Samira Gaspar;;;;out 17, 2022;mar 6, 2023;out 25, 2024;nov 9, 2024;;nov 4, 2024;Packaging;;;;nov 4, 2024;
Cruzeiro;CR037962;Inclusão do termômetro de vareta TEMP068C no Batch Record e Procedimento de Formulação Azium Comprimidos;Closed;Tier 1;;Peterson Lopes;Samira Gaspar;;;;out 17, 2022;nov 8, 2022;abr 19, 2023;mai 4, 2023;;abr 28, 2023;Manufacturing;;;;abr 28, 2023;
Cruzeiro;CR037958;Atualização da quantidade de alça nos Batches Records de embalagem do produto Bovguard 5 L.;Closed;Tier 1;;Daniel Elias;Samira Gaspar;;;;out 17, 2022;out 17, 2022;out 21, 2022;nov 5, 2022;;out 19, 2022;Manufacturing;;;;out 19, 2022;
Cruzeiro;CR037869;Transferência de tecnologia da fabricação do produto Sarnatox da empresa MIDORI SRL (CMO MSD Argentina) para a MSD Cruzeiro - Manufacturing technology transfer of the product Sarnatox from MIDORI SRL (CMO MSD Argentina) to MSD Cruzeiro;Pre-Implementation;Tier 2;Paloma Silva Souza;Paloma Silva Souza;Anderson da Silva;Yes;Yes;Business/process improvement or change;out 13, 2022;nov 7, 2023;mai 12, 2028;mai 27, 2028;mai 20, 2027;;GTO-PTS;Izabel Barcza;Yes;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR037868;Fabricação dos lotes-piloto do produto MCV-36/19 (Novo Matabicheiras);Closed;Tier 1;Willian Douglas Barreto;Willian Douglas Barreto;Samira Gaspar;No;No;Safety and Environmental;out 13, 2022;nov 11, 2022;fev 28, 2023;mar 15, 2023;;fev 28, 2023;R&D;;;;fev 28, 2023;Anna Carolina Sousa Alves
Cruzeiro;CR037803;Atualização de controles de Fontes de Emissão Atmosféricas do antigo prédio de Ectoparasiticidas;Closed;Tier 1;Eduardo Barros;Eduardo Barros;Samira Gaspar;No;No;Safety and Environmental;out 11, 2022;out 19, 2022;dez 6, 2022;dez 21, 2022;;dez 2, 2022;Manufacturing;;;;dez 2, 2022;Anna Carolina Sousa Alves
